"Level 1","Level 2","Level 3","Level 4","2024"
"Forest","","","",144652.2938509712
"Forest","Forest Formation","","",129179.00626465333
"Forest","Wooded Sandbank Vegetation","","",0
"Forest","Floodable Forest","","",15470.66029608962
"Forest","Mangrove","","",0
"Forest","Savanna Formation","","",2.6272902282714843
"Herbaceous and Shrubby Vegetation","","","",1337.5747090122572
"Herbaceous and Shrubby Vegetation","Grassland Formation","","",31.078576234178716
"Herbaceous and Shrubby Vegetation","Herbaceous Sandbank Vegetation","","",0
"Herbaceous and Shrubby Vegetation","Wetland","","",1306.4961327780786
"Herbaceous and Shrubby Vegetation","Rocky Outcrop","","",0
"Herbaceous and Shrubby Vegetation","Hypersaline Tidal Flat","","",0
"Farming","","","",229136.5609785548
"Farming","Agriculture","","",198594.11657980896
"Farming","Agriculture","Perennial Crop","",0
"Farming","Agriculture","Perennial Crop","Other Perennial Crops",0
"Farming","Agriculture","Perennial Crop","Coffee",0
"Farming","Agriculture","Perennial Crop","Citrus",0
"Farming","Agriculture","Perennial Crop","Palm Oil",0
"Farming","Agriculture","Temporary Crop","",198594.11657980896
"Farming","Agriculture","Temporary Crop","Rice",0
"Farming","Agriculture","Temporary Crop","Soybean",169851.82514065993
"Farming","Agriculture","Temporary Crop","Sugar cane",0
"Farming","Agriculture","Temporary Crop","Cotton",122.92761276245103
"Farming","Agriculture","Temporary Crop","Other Temporary Crops",28619.363826386565
"Farming","Forest Plantation","","",410.33654450590166
"Farming","Mosaic of Uses","","",0
"Farming","Pasture","","",30132.107854239945
"Non vegetated area","","","",10573.397549426727
"Non vegetated area","Photovoltaic Power Plant","","",0
"Non vegetated area","Other non Vegetated Areas","","",1635.1570940678469
"Non vegetated area","Mining","","",0
"Non vegetated area","Beach, Dune and Sand Spot","","",0
"Non vegetated area","Urban Area","","",8938.24045535888
"Water and Marine Environment","","","",13386.025185670143
"Water and Marine Environment","River, Lake and Ocean","","",13386.025185670143
"Water and Marine Environment","Aquaculture","","",0
"Not Observed","","","",0